Month,Hour,Day Type,kg_CO2/kWh
7,24,7,0.170724412640381
8,1,1,0.15731905810376
8,2,1,0.154502560195313
8,3,1,0.150944877898193
8,4,1,0.151819864175049
8,5,1,0.158088218244141
8,6,1,0.161939362162354
8,7,1,0.164345968935791
8,8,1,0.190998153363525
8,9,1,0.202898866493164
8,10,1,0.212871689040039
8,11,1,0.225709915151367
8,12,1,0.234607892983398
8,13,1,0.242860698209961
8,14,1,0.242239251699707
8,15,1,0.242680302368164
8,16,1,0.245249669601074
8,17,1,0.246146942350098
8,18,1,0.242759398580566
8,19,1,0.241509473555176
8,20,1,0.243589092101562
8,21,1,0.240739192169922
8,22,1,0.229270379796875
8,23,1,0.215294726895752
8,24,1,0.191578861310059
8,1,2,0.1727136117854
8,2,2,0.166817289533691
8,3,2,0.163528539895752
8,4,2,0.1625312271875
8,5,2,0.167358740067139
8,6,2,0.170761496776367
8,7,2,0.183889502395996
8,8,2,0.197804926452148
8,9,2,0.210828767038818
8,10,2,0.223376244664795
8,11,2,0.239308677507324
8,12,2,0.244769167724121
8,13,2,0.243567636181152
8,14,2,0.243300835271484
8,15,2,0.249160682458496
8,16,2,0.250862787545898
8,17,2,0.247261099848144
8,18,2,0.236513843157227
8,19,2,0.225780608948486
8,20,2,0.221760073999268
8,21,2,0.218047563011963
8,22,2,0.206334679162353
8,23,2,0.192631848671143
8,24,2,0.179445538318115
8,1,3,0.164959179141113
8,2,3,0.157301436563965
8,3,3,0.159028375148926
8,4,3,0.156899338772949
8,5,3,0.157383522762695
8,6,3,0.16790247461792
8,7,3,0.17872273680835
8,8,3,0.203115225226074
8,9,3,0.213814614450684
8,10,3,0.215514975379395
8,11,3,0.231230606528076
8,12,3,0.240237428167969
8,13,3,0.24554761620166
8,14,3,0.243696260963379
8,15,3,0.245652764054199
8,16,3,0.249076076919434
8,17,3,0.247514030543457
8,18,3,0.249968532468262
8,19,3,0.25127598704541
8,20,3,0.245602432617676
8,21,3,0.237834835728027
8,22,3,0.214810252212891
8,23,3,0.196685107359619
8,24,3,0.1755839986604
8,1,4,0.170252216281006
8,2,4,0.158084037800293
8,3,4,0.1569343742146
8,4,4,0.160846494474365
8,5,4,0.167702865345459
8,6,4,0.169009434000732
8,7,4,0.182723892216553
8,8,4,0.200148591244873
8,9,4,0.205994471319824
8,10,4,0.211852394395264
8,11,4,0.226020693776611
8,12,4,0.227959866020752
8,13,4,0.225446104228027
8,14,4,0.224838237239014
8,15,4,0.232034829795166
8,16,4,0.232318504748047
8,17,4,0.234055991340332
8,18,4,0.233500435269531
8,19,4,0.22279812527124
8,20,4,0.218976396727783
8,21,4,0.211730247916748
8,22,4,0.192744416119385
8,23,4,0.167449990020264
8,24,4,0.155707330890137
8,1,5,0.150139284220703
8,2,5,0.144737347902832
8,3,5,0.152454488773193
8,4,5,0.152281554054687
8,5,5,0.162601533393799
8,6,5,0.163990312830566
8,7,5,0.175024954272217
8,8,5,0.185126069380615
8,9,5,0.194916336651123
8,10,5,0.204189336286865
8,11,5,0.221456216638672
8,12,5,0.215054240634277
8,13,5,0.208459147503662
8,14,5,0.202628688006348
8,15,5,0.198233006670654
8,16,5,0.193537565363037
8,17,5,0.197596264165527
8,18,5,0.210797510607666
8,19,5,0.212768617566894
8,20,5,0.210974141281494
8,21,5,0.189584042098145
8,22,5,0.158120415967285
8,23,5,0.15155446136084
8,24,5,0.136222185218506
8,1,6,0.120232887265625
8,2,6,0.116866356455566
8,3,6,0.121238740814453
8,4,6,0.116806501358887
8,5,6,0.11777603211084
8,6,6,0.122667511318359
8,7,6,0.119220209349854
8,8,6,0.127136917965088
8,9,6,0.142221786581299
8,10,6,0.158952836466553
8,11,6,0.168552644376465
8,12,6,0.174538084831787
8,13,6,0.176565932318604
8,14,6,0.178177050460937
8,15,6,0.179068813883301
8,16,6,0.17723949595166
8,17,6,0.181898019233643
8,18,6,0.187255354922119
8,19,6,0.189491961593262
8,20,6,0.188430239596191
8,21,6,0.18712461223291
8,22,6,0.171218950842041
8,23,6,0.154094634699463
8,24,6,0.146224215502197
8,1,7,0.14251432075293
8,2,7,0.140922900529785
8,3,7,0.138052776662842
8,4,7,0.140764431254395
8,5,7,0.150496172311035
8,6,7,0.160009948901367
8,7,7,0.17179500769873
8,8,7,0.1923208347229
8,9,7,0.198253106023193
8,10,7,0.201965630853027
8,11,7,0.206012494292969
8,12,7,0.209115809408447
8,13,7,0.211772426103516
8,14,7,0.209193881273682
8,15,7,0.201959706250488
8,16,7,0.199106248788818
8,17,7,0.200607484933594
8,18,7,0.200293564054199
8,19,7,0.20097925374292
8,20,7,0.201285062900146
8,21,7,0.191621344032471
8,22,7,0.179624549906982
8,23,7,0.167309834411133
8,24,7,0.149089812862061
8,1,1,0.144228759533936
8,2,1,0.139924148198486
8,3,1,0.142054887205566
8,4,1,0.141123547991943
8,5,1,0.146978107332764
8,6,1,0.157425105720703
8,7,1,0.167966385575684
8,8,1,0.189318390118408
8,9,1,0.200794345236572
8,10,1,0.198355914488281
8,11,1,0.200620718391602
8,12,1,0.201937502833496
8,13,1,0.20332379061499
8,14,1,0.206334471524414
8,15,1,0.207808202563477
8,16,1,0.204829041093262
8,17,1,0.207238900861084
8,18,1,0.207660419720703
8,19,1,0.207287072863037
8,20,1,0.205913354098144
8,21,1,0.193582041409668
8,22,1,0.170468561171387
8,23,1,0.156312581641113
8,24,1,0.13588741748999
8,1,2,0.128067703477539
8,2,2,0.128522499777588
8,3,2,0.122939406278809
8,4,2,0.123720194143799
8,5,2,0.128624713013916
8,6,2,0.136038854760498
8,7,2,0.151826480904053
8,8,2,0.167848544123779
8,9,2,0.179835094777588
8,10,2,0.180359020668945
8,11,2,0.186981438952393
8,12,2,0.192898192777344
8,13,2,0.199682499440918
8,14,2,0.200175833342529
8,15,2,0.205704525701172
8,16,2,0.213303354473633
8,17,2,0.221989167859131
8,18,2,0.227087191446289
8,19,2,0.219859287088867
8,20,2,0.214030045734131
8,21,2,0.204286400102295
8,22,2,0.190879273721924
8,23,2,0.167551345019775
8,24,2,0.139037603409668
8,1,3,0.12832439934082
8,2,3,0.125245627029785
8,3,3,0.125261781261475
8,4,3,0.124736734125244
8,5,3,0.12786097914502
8,6,3,0.133986063035889
8,7,3,0.149967387691895
8,8,3,0.170966158572021
8,9,3,0.184279709454346
8,10,3,0.201266984556885
8,11,3,0.207849688623779
8,12,3,0.214957993528076
8,13,3,0.220329254801025
8,14,3,0.222729244845459
8,15,3,0.22537655936084
8,16,3,0.227619422855225
8,17,3,0.228857318722656
8,18,3,0.223583937974365
8,19,3,0.215415890554687
8,20,3,0.205312256105957
8,21,3,0.196212758732422
8,22,3,0.186631569024414
8,23,3,0.165772552320068
8,24,3,0.141335615540771
8,1,4,0.131684382634521
8,2,4,0.130912232507813
8,3,4,0.129383601997559
8,4,4,0.128692181501709
8,5,4,0.134894368280762
8,6,4,0.141746531022949
8,7,4,0.15178755571167
8,8,4,0.166716266754883
8,9,4,0.186163954542236
8,10,4,0.200043817140625
8,11,4,0.20875370268457
8,12,4,0.210875444047607
8,13,4,0.21402867532373
8,14,4,0.215823885263184
8,15,4,0.217340777308594
8,16,4,0.216079459881592
8,17,4,0.214623267327148
8,18,4,0.210543001864014
8,19,4,0.201840106797363
8,20,4,0.200585212303955
8,21,4,0.184369824320068
8,22,4,0.168201680888672
8,23,4,0.154778109583496
8,24,4,0.135467476678711
8,1,5,0.12516423295752
8,2,5,0.12206979090332
8,3,5,0.1190196587854
8,4,5,0.119572764728516
8,5,5,0.122675193922119
8,6,5,0.127964410523926
8,7,5,0.129229216268311
8,8,5,0.142584322423584
8,9,5,0.153311991935547
8,10,5,0.174149469664307
8,11,5,0.181612655492187
8,12,5,0.182946576985352
8,13,5,0.184840996332275
8,14,5,0.187889481189209
8,15,5,0.191261147577637
8,16,5,0.188430308808838
8,17,5,0.193039580371582
8,18,5,0.198444520518311
8,19,5,0.195061074137451
8,20,5,0.19159990195459
8,21,5,0.183836831572021
8,22,5,0.171710000726318
8,23,5,0.156639362230225
8,24,5,0.145751257803711
8,1,6,0.143074652496338
8,2,6,0.137237271734375
8,3,6,0.136501956578125
8,4,6,0.132436668731689
8,5,6,0.130842327734863
8,6,6,0.129846011688721
8,7,6,0.130164971248779
8,8,6,0.142107945620361
8,9,6,0.157846984486084
8,10,6,0.177662994292969
8,11,6,0.183593659859863
8,12,6,0.18947702550415
8,13,6,0.192532500838379
8,14,6,0.197428935671387
8,15,6,0.201948798337402
8,16,6,0.208015134533936
8,17,6,0.209382181199707
8,18,6,0.213103828256348
8,19,6,0.214458499700928
8,20,6,0.206365077356689
8,21,6,0.198864558227295
8,22,6,0.186194311208984
8,23,6,0.168808523530518
8,24,6,0.143375173807373
8,1,7,0.139070687054688
8,2,7,0.136526748548096
8,3,7,0.132855391400391
8,4,7,0.132727306476807
8,5,7,0.138465879264648
8,6,7,0.143514277384277
8,7,7,0.157367853019531
8,8,7,0.170977315650635
8,9,7,0.18217074474585
8,10,7,0.194052784303467
8,11,7,0.208689099600342
8,12,7,0.208664930544189
8,13,7,0.209876248755371
8,14,7,0.217462771519287
8,15,7,0.220576357791504
8,16,7,0.222579468678467
8,17,7,0.21970802977124
8,18,7,0.216674896279297
8,19,7,0.214047902596924
8,20,7,0.213968709486816
8,21,7,0.215287861001221
8,22,7,0.194112584030029
8,23,7,0.178791603391602
8,24,7,0.164408121892334
8,1,1,0.153350225001465
8,2,1,0.152097448415039
8,3,1,0.147081358758789
8,4,1,0.149953572847656
8,5,1,0.152135736851074
8,6,1,0.163028603107666
8,7,1,0.176840512729736
8,8,1,0.192284041280029
8,9,1,0.203689247230957
8,10,1,0.208694304391357
8,11,1,0.210439875020752
8,12,1,0.211507784628418
8,13,1,0.214128466117432
8,14,1,0.212492445264893
8,15,1,0.208755336103027
8,16,1,0.212540437313965
8,17,1,0.214913088363037
8,18,1,0.21345362897168
8,19,1,0.213438540614746
8,20,1,0.214948359127685
8,21,1,0.207455591814697
8,22,1,0.199457419914551
8,23,1,0.191768642386719
8,24,1,0.172662754332764
8,1,2,0.159044294057617
8,2,2,0.157948823974121
8,3,2,0.158444663373535
8,4,2,0.15813016110791
8,5,2,0.160286661062012
8,6,2,0.16939791074292
8,7,2,0.186758657285889
8,8,2,0.195116181246582
8,9,2,0.20761598520166
8,10,2,0.21281024205249
8,11,2,0.217068051796387
8,12,2,0.223075446503174
8,13,2,0.229344257375732
8,14,2,0.23087715138501
8,15,2,0.229965094814697
8,16,2,0.234233590991211
8,17,2,0.234652715093262
8,18,2,0.236860986106934
8,19,2,0.239469693808105
8,20,2,0.22869029476416
8,21,2,0.21942591902417
8,22,2,0.20529113240625
8,23,2,0.189213477588867
8,24,2,0.168344217412842
8,1,3,0.160704788501953
8,2,3,0.157031175021973
8,3,3,0.149441080885498
8,4,3,0.150431583069336
8,5,3,0.15219193752002
8,6,3,0.159811031755371
8,7,3,0.169598364409668
8,8,3,0.184838850740234
8,9,3,0.195186861201172
8,10,3,0.199316544493897
8,11,3,0.202872108884033
8,12,3,0.213030075260254
8,13,3,0.224455865052246
8,14,3,0.225162816865967
8,15,3,0.224052064630127
8,16,3,0.226521585699219
8,17,3,0.228354350420654
8,18,3,0.226583018844238
8,19,3,0.217495661368896
8,20,3,0.212148790632568
8,21,3,0.204432203463379
8,22,3,0.184955930853027
8,23,3,0.175523603705078
8,24,3,0.160451913176758
8,1,4,0.153597757110352
8,2,4,0.150607272451172
8,3,4,0.14966113557373
8,4,4,0.147018430620605
8,5,4,0.153487099931152
8,6,4,0.163796558947998
8,7,4,0.179369819682861
8,8,4,0.199984432689941
8,9,4,0.213561600700195
8,10,4,0.220150589275391
8,11,4,0.225560194354492
8,12,4,0.227621457707031
8,13,4,0.23116733232666
8,14,4,0.227155670438721
8,15,4,0.227539828311768
8,16,4,0.235352897910156
8,17,4,0.235846716300293
8,18,4,0.232745962052734
8,19,4,0.233040697186523
8,20,4,0.231097676719238
8,21,4,0.216025640127686
8,22,4,0.201949615046631
8,23,4,0.194488048794678
8,24,4,0.186392148637695
8,1,5,0.173463752290527
8,2,5,0.168745858400391
8,3,5,0.165598011868164
8,4,5,0.164676016361816
8,5,5,0.16682852966748
8,6,5,0.169272469742432
8,7,5,0.166706895362549
8,8,5,0.177261228722656
8,9,5,0.190466240332764
8,10,5,0.197576386293457
8,11,5,0.205415576744629
8,12,5,0.212449990227539
8,13,5,0.219676053528564
8,14,5,0.223829227593506
8,15,5,0.224669967452881
8,16,5,0.22754115719458
8,17,5,0.232062445641113
8,18,5,0.229893072134766
8,19,5,0.220579250880127
8,20,5,0.212354698255859
8,21,5,0.205711502335937
8,22,5,0.198804633917969
8,23,5,0.19632304216333
8,24,5,0.181267201331055
8,1,6,0.163460434651611
8,2,6,0.163442688529053
8,3,6,0.160242766401611
8,4,6,0.156494223310547
8,5,6,0.156261807243652
8,6,6,0.157553758187988
8,7,6,0.15365232436084
8,8,6,0.156193369778809
8,9,6,0.17209267744873
8,10,6,0.184270268849365
8,11,6,0.193683313354004
8,12,6,0.201642449321533
8,13,6,0.209120515868408
8,14,6,0.213046838563232
8,15,6,0.215329969975342
8,16,6,0.220425155843994
8,17,6,0.222689710581787
8,18,6,0.224816725948486
8,19,6,0.224831952730713
8,20,6,0.225388270140625
8,21,6,0.216520164486816
8,22,6,0.203042330466797
8,23,6,0.189623950110107
8,24,6,0.170175916259521
8,1,7,0.160336521852539
8,2,7,0.157721931076416
8,3,7,0.156949227248535
8,4,7,0.156090879691895
8,5,7,0.160418940271973
8,6,7,0.167361314777588
8,7,7,0.177295973471191
8,8,7,0.189997338495361
8,9,7,0.207364937090332
8,10,7,0.217713002921387
8,11,7,0.223721740353516
8,12,7,0.231222342538086
8,13,7,0.238195572041504
8,14,7,0.245228019885254
8,15,7,0.240587339623535
8,16,7,0.239444832625488
8,17,7,0.241287162534668
8,18,7,0.241641226749023
8,19,7,0.242133162555176
8,20,7,0.237854990450684
8,21,7,0.22702968957959
8,22,7,0.213064640055908
8,23,7,0.195806009851563
8,24,7,0.18020812325708
8,1,1,0.174554682024414
8,2,1,0.172713667155518
8,3,1,0.168840638198486
8,4,1,0.170137807776367
8,5,1,0.175432076901367
8,6,1,0.180692916318115
8,7,1,0.190232149319824
8,8,1,0.200028908736572
8,9,1,0.214309360290283
8,10,1,0.229982536401611
8,11,1,0.231964675856689
8,12,1,0.242123168249023
8,13,1,0.250394633205078
8,14,1,0.256276047052734
8,15,1,0.255704322907715
8,16,1,0.251565932664062
8,17,1,0.249806048859375
8,18,1,0.259302328492676
8,19,1,0.258033245406738
8,20,1,0.251370531520508
8,21,1,0.247649355109863
8,22,1,0.234858248968262
8,23,1,0.214466486840332
8,24,1,0.165455641454346
8,1,2,0.152162023814209
8,2,2,0.143551693740967
8,3,2,0.142861643655518
8,4,2,0.143574478544189
8,5,2,0.145942395448242
8,6,2,0.161011608163818
8,7,2,0.17976633893457
8,8,2,0.196367670477783
8,9,2,0.192940232538818
8,10,2,0.199003786386963
8,11,2,0.200309427592773
8,12,2,0.203418902633789
8,13,2,0.208287306344971
8,14,2,0.217048381562256
8,15,2,0.222180471614014
8,16,2,0.222525441286621
8,17,2,0.218114090207764
8,18,2,0.216416414729736
8,19,2,0.207952593986572
8,20,2,0.206491528861816
8,21,2,0.195764011617676
8,22,2,0.174330751427979
8,23,2,0.15363716679126
8,24,2,0.138378311424316
8,1,3,0.130474697841797
8,2,3,0.128249331304443
8,3,3,0.125567133615234
8,4,3,0.126544180860596
8,5,3,0.128917994682129
8,6,3,0.133784128218506
8,7,3,0.148475163033691
8,8,3,0.163554411583008
8,9,3,0.170167347733887
8,10,3,0.179158748796143
8,11,3,0.188087498570801
8,12,3,0.19127526695752
8,13,3,0.199565004052246
8,14,3,0.203936308693848
8,15,3,0.210135782337158
8,16,3,0.21277126148999
8,17,3,0.208128878597168
8,18,3,0.20171593930957
8,19,3,0.192249199633789
8,20,3,0.190747299047607
8,21,3,0.177569128101807
8,22,3,0.155407598603271
8,23,3,0.139263153582031
8,24,3,0.125728191443604
8,1,4,0.122461160734131
8,2,4,0.123006528703369
8,3,4,0.122809881732178
8,4,4,0.121997228364746
8,5,4,0.12606038446167
8,6,4,0.129712514336182
8,7,4,0.142529104574219
8,8,4,0.159839270515137
8,9,4,0.167440701683105
8,10,4,0.172986835628662
8,11,4,0.179190420503174
8,12,4,0.182835712168213
8,13,4,0.184617314901367
8,14,4,0.188483118058105
8,15,4,0.186649910375732
8,16,4,0.181665741592041
